hole1,hole2,max,min,mean,25%,50%,75%,var,stat
C4,S5,74,5,30.600000000000001,5.0,20.5,57.0,796.04000000000019,28.214180831631463
C4,S6,73,6,35.799999999999997,10.0,21.0,69.75,875.36000000000001,29.586483400363754
C4,S7,115,7,32.899999999999999,7.0,9.0,57.5,1284.0899999999999,35.834201539869696
C4,S8,70,8,29.600000000000001,9.0,12.0,55.5,652.63999999999999,25.546819762937226
C4,S9,79,9,41.700000000000003,14.75,34.5,69.0,721.81000000000006,26.866521918551349
C4,ST,182,10,84.400000000000006,67.5,70.5,85.25,2756.2399999999998,52.499904761818378
C4,SJ,183,11,39.200000000000003,15.0,23.5,37.25,2412.96,49.121889214483595
C4,SQ,72,12,39.600000000000001,17.0,36.0,64.0,555.04000000000008,23.559286916203558
C4,SK,185,13,58.5,13.0,29.0,63.5,4105.4499999999998,64.073785591300904
C5,C6,74,6,36.299999999999997,16.5,33.0,58.0,576.00999999999999,24.000208332429118
C5,C7,154,7,62.899999999999999,17.75,49.0,83.75,2716.8899999999999,52.123794950099324
C5,C8,152,8,38.100000000000001,8.0,13.0,55.0,2203.29,46.93921601390462
C5,C9,182,9,88.700000000000003,43.5,80.5,142.75,3338.0099999999998,57.775513844534515
C5,CT,89,10,52.5,33.0,53.0,73.0,607.64999999999998,24.650557803019385
C5,CJ,154,11,74.5,20.25,80.0,110.0,2808.8499999999999,52.998584886768441
C5,CQ,189,17,101.09999999999999,68.25,72.0,153.5,3569.2899999999995,59.743535215117625
C5,CK,97,13,44.5,18.0,41.0,65.75,796.25,28.217902119044926
C5,DA,72,14,33.700000000000003,19.0,26.0,39.75,442.81000000000006,21.043051109570591
C5,D2,114,5,40.200000000000003,5.5,18.5,73.25,1555.3600000000001,39.438052690263504
C5,D3,175,5,49.600000000000001,8.0,39.0,71.75,2686.6400000000003,51.832808143105659
C5,D4,63,5,22.5,6.0,20.5,32.0,330.44999999999999,18.178283747372852
C5,D5,186,33,98.400000000000006,63.25,77.0,155.0,3363.4400000000001,57.99517221286613
C5,D6,185,6,69.599999999999994,16.5,54.5,114.75,3384.04,58.172502095062065
C5,D7,118,7,41.799999999999997,8.25,22.5,63.75,1776.5599999999999,42.149258593716688
C5,D8,116,8,49.799999999999997,18.75,50.5,68.5,1074.96,32.786582621554203
C5,D9,183,9,48.399999999999999,9.0,23.5,69.75,2757.4400000000005,52.511332110316914
C5,DT,191,10,43.100000000000001,11.25,15.0,38.0,2968.8900000000003,54.487521507222183
C5,DJ,75,11,36.600000000000001,20.25,36.0,39.0,436.83999999999997,20.900717691026784
C5,DQ,176,12,53.5,21.0,33.0,57.25,2522.25,50.222007128349617
C5,DK,75,13,39.5,21.75,41.0,41.0,412.85000000000002,20.318710589011303
C5,HA,73,14,34.700000000000003,19.0,30.5,42.0,402.40999999999997,20.060159520801424
C5,H2,176,5,49.399999999999999,11.25,30.0,59.25,2800.4399999999996,52.919183667173094
C5,H3,89,5,57.0,33.0,64.0,85.0,795.79999999999995,28.209927330640184
C5,H4,177,5,51.799999999999997,15.0,33.0,65.0,2432.1599999999999,49.316934211282842
C5,H5,176,33,82.599999999999994,68.75,89.0,89.0,1419.6400000000001,37.678110356014408
C5,H6,115,33,65.099999999999994,34.0,73.5,85.5,785.29000000000008,28.023026246285394
C5,H7,184,7,63.399999999999999,17.25,54.5,85.75,2907.8400000000001,53.924391512561364
C5,H8,70,8,41.399999999999999,9.25,50.0,69.0,798.24000000000001,28.253141418256483
C5,H9,76,9,36.299999999999997,10.25,33.0,61.75,681.41000000000008,26.103831136444324
C5,HT,71,10,36.100000000000001,15.0,35.5,56.75,522.8900000000001,22.866788143506295
C5,HJ,89,11,28.600000000000001,11.0,13.5,33.25,742.04000000000008,27.240411156955766
C5,HQ,185,12,57.399999999999999,34.75,40.0,70.25,2244.8399999999997,47.379742506687386
C5,HK,83,13,31.899999999999999,14.25,18.0,39.0,572.28999999999996,23.92258347252654
C5,SA,176,14,47.5,19.0,33.0,42.0,2212.25,47.034561760475668
C5,S2,181,5,52.799999999999997,12.75,48.0,67.75,2481.3599999999997,49.81325124904015
C5,S3,73,5,29.600000000000001,8.0,19.5,54.0,667.63999999999999,25.838730618975848
C5,S4,177,5,67.099999999999994,15.0,63.5,70.0,3645.2900000000009,60.376237047368235
C5,S5,201,5,83.200000000000003,41.0,82.0,89.0,3869.1600000000008,62.202572294078003
C5,S6,114,6,51.799999999999997,12.75,50.5,85.0,1435.5599999999999,37.88878462025405
C5,S7,117,7,33.899999999999999,8.25,22.5,35.0,1164.6900000000001,34.1275548494175
C5,S8,72,8,32.399999999999999,8.0,23.0,60.75,701.83999999999992,26.492263021493653
C5,S9,121,9,35.399999999999999,9.0,14.0,57.0,1318.0399999999997,36.30482061655173
C5,ST,122,10,41.5,15.0,33.0,60.5,1159.8499999999999,34.056570584837225
C5,SJ,176,11,68.099999999999994,39.0,74.5,79.5,2033.0900000000001,45.08979928986156
C5,SQ,185,12,63.600000000000001,40.0,52.0,83.0,2302.6399999999999,47.985831242148969
C5,SK,117,13,50.200000000000003,14.25,42.5,73.5,1420.1599999999999,37.685010282604409
C6,C7,91,7,30.899999999999999,8.5,23.5,34.0,744.68999999999983,27.289008776428648
C6,C8,70,8,33.0,9.5,24.0,60.0,657.0,25.632011235952593
C6,C9,190,9,63.799999999999997,19.75,37.0,86.0,3475.1599999999999,58.950487699424507
C6,CT,150,16,68.400000000000006,34.0,38.0,107.0,2402.8400000000001,49.018771914441103
C6,CJ,151,11,58.799999999999997,34.0,55.5,73.0,1624.3599999999999,40.303349736715433
C6,CQ,176,12,51.899999999999999,18.0,18.0,80.5,2968.4900000000002,54.48385081838471
C6,CK,193,13,89.700000000000003,19.0,75.5,153.0,4955.6099999999997,70.396093641621903
C6,DA,98,14,45.100000000000001,23.5,34.0,63.75,842.8900000000001,29.032567919493449
C6,D2,75,6,23.699999999999999,6.5,19.0,33.0,435.60999999999996,20.871272122225804
C6,D3,188,6,52.299999999999997,6.75,38.0,71.5,3093.4099999999994,55.618432196529952
C6,D4,178,6,70.099999999999994,40.5,69.5,83.5,1938.8900000000001,44.03282866226062
C6,D5,115,6,43.0,11.0,22.5,73.0,1508.4000000000001,38.838125598437422
C6,D6,202,6,118.3,75.25,90.0,186.25,4316.21,65.697869067421053
C6,D7,181,7,49.0,13.0,24.0,73.75,2686.1999999999998,51.828563553314879
C6,D8,120,8,49.399999999999999,14.0,34.0,73.75,1704.2399999999998,41.28244178824697
C6,D9,90,9,44.299999999999997,9.0,50.5,71.75,999.81000000000006,31.619772295195297
